Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,CEBR3.SA,CEBR5.SA,CEBR6.SA,COCE5.SA,CSMG3.SA,ENEV3.SA,ENMT3.SA,LOGN3.SA,REDE3.SA,SAPR11.SA,SAPR3.SA,SAPR4.SA,SBSP3.SA,CEBR3.SA,CEBR5.SA,CEBR6.SA,COCE5.SA,CSMG3.SA,ENEV3.SA,ENMT3.SA,LOGN3.SA,REDE3.SA,SAPR11.SA,SAPR3.SA,SAPR4.SA,SBSP3.SA,CEBR3.SA,CEBR5.SA,CEBR6.SA,COCE5.SA,CSMG3.SA,ENEV3.SA,ENMT3.SA,LOGN3.SA,REDE3.SA,SAPR11.SA,SAPR3.SA,SAPR4.SA,SBSP3.SA,CEBR3.SA,CEBR5.SA,CEBR6.SA,COCE5.SA,CSMG3.SA,ENEV3.SA,ENMT3.SA,LOGN3.SA,REDE3.SA,SAPR11.SA,SAPR3.SA,SAPR4.SA,SBSP3.SA,CEBR3.SA,CEBR5.SA,CEBR6.SA,COCE5.SA,CSMG3.SA,ENEV3.SA,ENMT3.SA,LOGN3.SA,REDE3.SA,SAPR11.SA,SAPR3.SA,SAPR4.SA,SBSP3.SA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,3.482619285583496,3.488457441329956,2.942972421646118,51.95173263549805,13.03952407836914,10.96500015258789,25.318042755126953,22.530000686645508,5.687943935394287,24.954994201660156,4.6383490562438965,5.057755470275879,54.30703353881836,3.4826192855834956,3.488457441329956,2.9429724216461177,53.40638114929199,13.131811981889648,11.067500114440918,25.318042755126953,22.530000686645508,5.687943935394287,25.220393625356902,4.6383490562438965,5.1937835352663075,54.710637285034245,3.4826192855834956,3.488457441329956,2.9429724216461177,51.71067583505762,12.954926283396047,10.7524995803833,24.922447579665324,20.610000610351562,5.50188922793656,24.897944878493274,4.4108552832970025,5.057755470275879,53.652300093350604,3.4826192855834956,3.488457441329956,2.9429724216461177,52.75802454068325,13.131811981889648,10.960000038146973,24.922447579665324,21.030000686645508,5.654719925917961,25.17574595871883,4.423494007034476,5.161631041917645,54.360848512108994,500,500,1000,8700,1251000,7326800,200,1991000,4917,650700,568500,2757300,1885800
2020-01-03,3.482619285583496,3.488457441329956,2.942972421646118,52.367347717285156,13.149116516113281,11.067500114440918,25.31013298034668,25.049999237060547,5.694588661193848,24.57798194885254,4.9340901374816895,4.6991376876831055,53.37425994873047,3.4826192855834956,3.488457441329956,2.9429724216461177,52.367347717285156,13.149116516113283,11.1875,25.31013298034668,25.420000076293945,5.694588661193848,24.878108341732887,4.977061352382358,5.05775594305851,54.05590257559772,3.4826192855834956,3.488457441329956,2.9429724216461177,50.70489223419674,12.814572559265548,10.760000228881836,25.31013298034668,21.549999237060547,5.668009962154892,24.48124957628249,4.549878538427557,4.6991376876831055,53.293539201374756,3.4826192855834956,3.488457441329956,2.9429724216461177,50.912699169582794,13.006839593142631,10.944999694824219,25.31013298034668,21.700000762939453,5.668009962154892,24.80865734813962,4.613071054844479,5.0330236617842905,53.41910746945012,0,0,0,7400,1941000,11688000,100,5816900,4716,1172400,907500,26943900,2573200
2020-01-06,3.482619285583496,3.8128550052642822,2.942972421646118,51.79380416870117,12.872251510620117,11.350000381469727,24.51894187927246,24.600000381469727,5.780971527099609,24.16128158569336,5.199500560760498,4.706557273864746,52.55808639526367,3.4826192855834956,3.812855005264282,2.9429724216461177,52.117982495906645,13.112585554316295,11.367500305175781,24.534765746815573,25.229999542236328,5.780971527099609,24.3076205938285,5.280387589006561,4.785700929064071,53.38323221436219,3.4826192855834956,3.812855005264282,2.9429724216461177,51.53612241510799,12.749200973118722,10.90999984741211,24.51894187927246,23.719999313354492,5.628141441989509,23.8685978923075,4.744512699239035,4.659566469355682,52.23520681880136,3.4826192855834956,3.812855005264282,2.9429724216461177,51.53612241510799,13.112585554316295,11.117500305175781,24.534765746815573,24.770000457763672,5.6945894709876015,24.3076205938285,4.926507699210851,4.773334611320954,52.988599339984546,14500,500,0,124100,2431800,12388000,200,2504200,14652,1232700,942300,10079100,2181600
2020-01-07,3.482619285583496,3.8128550052642822,2.9812633991241455,52.20111083984375,12.678062438964844,11.265000343322754,24.51894187927246,23.90999984741211,5.780971527099609,24.35723114013672,5.2070841789245605,4.817852020263672,51.66119384765625,3.4826192855834956,3.812855005264282,2.9812633991241455,52.28423553134478,12.83572066410799,11.357500076293945,24.51894187927246,25.899999618530273,5.780971527099609,24.37459176032411,5.224778681933265,4.817852020263672,52.728501980178045,3.4826192855834956,3.812855005264282,2.9812633991241455,51.55275410054955,12.564625087898865,11.09000015258789,24.51894187927246,23.90999984741211,5.674655443873685,23.811549605767357,4.961896619690142,4.709029642807127,51.1499635437067,3.4826192855834956,3.812855005264282,2.9812633991241455,51.74393613467777,12.779963527172923,11.300000190734863,24.51894187927246,25.049999237060547,5.774326851394971,24.076949093386762,5.103448666248117,4.756021501902577,52.64778122579729,0,0,25000,30600,1902600,8222400,0,2357400,4817,1671300,284100,3516600,2879500
2020-01-08,3.482619285583496,3.8128550052642822,2.9812633991241455,52.20111083984375,12.68382740020752,11.212499618530273,24.503116607666016,23.440000534057617,5.780971527099609,24.453964233398438,5.212139129638672,4.8153791427612305,50.89883041381836,3.4826192855834956,3.812855005264282,2.9812633991241455,52.35904616825432,12.716512003257627,11.319999694824219,24.511028540984206,24.25,5.780971527099609,24.741686115469825,5.242471628740187,4.847530928555213,52.00201170208904,3.4826192855834956,3.812855005264282,2.9812633991241455,51.54444004595807,12.516556031209998,11.020000457763672,24.503116607666016,23.110000610351562,5.767682175690332,24.218327045927865,5.080698300198769,4.748602166374575,50.54007076921961,3.4826192855834956,3.812855005264282,2.9812633991241455,52.35904616825432,12.679982346935443,11.319999694824219,24.511028540984206,24.170000076293945,5.780971527099609,24.307619554405594,5.169167908448902,4.822799003358873,51.86747940140366,0,0,0,4000,1607700,4600800,200,1613900,3914,9013200,237900,2796600,3572000
2020-01-09,3.482619285583496,3.8128550052642822,2.9812633991241455,53.02402114868164,12.75496768951416,11.375,24.503116607666016,23.6299991607666,5.780971527099609,24.36714744567871,5.229832172393799,4.803012371063232,51.67913055419922,3.4826192855834956,3.812855005264282,2.9812633991241455,53.896806517585084,12.758813843503317,11.387499809265137,24.503116607666016,24.309999465942383,5.780971527099609,24.62758508646015,5.270275860442851,4.847530469033719,52.28901991899454,3.4826192855834956,3.812855005264282,2.9812633991241455,52.666592947578884,12.491562249338658,11.140000343322754,24.503116607666016,23.350000381469727,5.780971527099609,24.25801059104367,5.098391361407927,4.763441082221192,50.88089390887801,3.4826192855834956,3.812855005264282,2.9812633991241455,52.67490383023791,12.683829242933276,11.212499618530273,24.503116607666016,23.760000228881836,5.780971527099609,24.558136941290027,5.222248867887145,4.847530469033719,52.28901991899454,0,0,0,9700,1977900,6418400,0,1424800,1103,1780800,193200,2238600,4567700
2020-01-10,3.5451440811157227,3.8128550052642822,2.9812633991241455,53.19857406616211,12.833797454833984,11.420000076293945,23.727752685546875,23.700000762939453,5.907222747802734,24.553178787231445,5.2070841789245605,4.822800159454346,51.49078369140625,3.5451440811157227,3.812855005264282,2.9812633991241455,53.556002239339705,12.901090848165778,11.5024995803833,24.123346338454088,24.450000762939453,5.907222747802734,24.697039735803862,5.282915800319747,4.857425004548672,52.19933213881171,3.5451440811157227,3.812855005264282,2.9812633991241455,53.1902631841524,12.69344253729528,11.305000305175781,23.498308124488613,23.43000030517578,5.7411026798516165,24.451484614986317,5.164113674090691,4.773335235808925,51.14099490433881,3.5451440811157227,3.812855005264282,2.9812633991241455,53.556002239339705,12.724205168523614,11.449999809265137,23.727752685546875,23.639999389648438,5.7809713689647175,24.553178787231445,5.229833737661511,4.820326400264234,51.88541658066952,500,0,0,26000,1686600,5126400,1204,1273900,10537,999900,138900,3033600,2176700
2020-01-13,3.5451440811157227,3.756204605102539,2.988374948501587,53.09051513671875,12.910704612731934,11.399999618530273,23.727752685546875,23.899999618530273,5.913866996765137,24.62262535095215,5.303136825561523,4.899469375610352,53.73302459716797,3.5451440811157227,3.756204605102539,2.9889221905699865,53.48950407344776,13.035678220269109,11.5625,23.727752685546875,23.979999542236328,5.913866996765137,24.768967172722935,5.303136825561523,4.899469375610352,53.73302459716797,3.5451440811157227,3.756204605102539,2.988374948501587,53.09051513671875,12.704979369633397,11.3774995803833,23.727752685546875,23.34000015258789,5.780970951989882,24.481245327347498,5.174223518755937,4.8178526699613595,51.70604169431711,3.5451440811157227,3.756204605102539,2.988374948501587,53.19857563131688,12.826106822975442,11.422499656677246,23.727752685546875,23.690000534057617,5.913866996765137,24.768967172722935,5.207083546550662,4.867317586638464,51.70604169431711,0,2000,1500,17600,2657400,7018000,100,843200,12544,339600,111300,2436900,4281300
