Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,OIBR3.SA,OIBR4.SA,TELB3.SA,TELB4.SA,TIMS3.SA,VIVT3.SA,OIBR3.SA,OIBR4.SA,TELB3.SA,TELB4.SA,TIMS3.SA,VIVT3.SA,OIBR3.SA,OIBR4.SA,TELB3.SA,TELB4.SA,TIMS3.SA,VIVT3.SA,OIBR3.SA,OIBR4.SA,TELB3.SA,TELB4.SA,TIMS3.SA,VIVT3.SA,OIBR3.SA,OIBR4.SA,TELB3.SA,TELB4.SA,TIMS3.SA,VIVT3.SA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,86.0,124.0,100.3916244506836,29.350000381469727,11.750709533691406,35.206661224365234,88.0,124.0,100.3916244506836,29.799999237060547,11.869930312245604,35.48399194786824,85.0,122.0,100.3916244506836,29.309999465942383,11.556975413234888,34.89283712519537,87.0,124.0,100.3916244506836,29.799999237060547,11.653842473463147,35.45480114500992,1001248,7686,0,4000,8256700,38100
2020-01-03,86.0,124.0,99.99403381347656,29.350000381469727,11.773062705993652,35.6153678894043,87.0,125.0,103.87054443359375,30.0,11.929540148241733,35.75403606473962,85.0,122.0,99.99403381347656,29.350000381469727,11.54952340126613,34.5790203898154,85.0,124.0,103.1648178100586,29.350000381469727,11.616585263745574,35.133684738993885,309197,8909,301,8500,6034100,49900
2020-01-06,92.0,127.0,96.41571807861328,29.690000534057617,11.758160591125488,35.2723503112793,92.0,128.0,101.78319549560547,30.600000381469727,11.899735802130161,35.732136840884266,86.0,124.0,96.41571807861328,28.799999237060547,11.542072746981646,35.148278941664735,87.0,124.0,101.78319549560547,29.350000381469727,11.773063544120468,35.49859368119645,2302181,25332,1207,21600,6610800,43700
2020-01-07,94.0,130.0,98.40367126464844,28.950000762939453,11.884832382202148,36.05326843261719,95.0,130.0,98.40367126464844,29.899999618530273,11.951894957432886,36.05326843261719,92.0,127.0,94.42776489257812,28.799999237060547,11.616585634338612,35.13368960994467,93.0,128.0,94.42776489257812,29.049999237060547,11.616585634338612,35.235864416007246,1337000,15914,402,5900,8198400,46400
2020-01-08,92.0,133.0,95.42174530029297,28.5,12.011507987976074,36.418182373046875,96.0,135.0,98.40367126464844,29.700000762939453,12.108374357497459,36.432776388513254,90.0,129.0,94.42776489257812,28.5,11.840127550628619,35.76863732259936,95.0,130.0,94.42776489257812,28.600000381469727,12.041312478127239,36.053270737180895,1535626,28098,402,8800,12770700,47800
2020-01-09,90.0,129.0,95.44161987304688,28.809999465942383,11.847578048706055,35.805118560791016,92.0,135.0,95.62053680419922,29.299999237060547,12.063666637595217,36.63711636272776,90.0,129.0,95.44161987304688,28.299999237060547,11.802870603882935,35.805118560791016,92.0,134.0,95.44161987304688,28.65999984741211,12.01895777154805,36.41817001233186,477549,15651,301,6900,6506300,75900
2020-01-10,89.0,127.0,98.30427551269531,28.979999542236328,12.160530090332031,36.69550323486328,91.0,131.0,98.30427551269531,29.190000534057617,12.167981566220622,36.69550323486328,89.0,127.0,95.4515609741211,28.299999237060547,11.914637070903394,35.82701477989015,90.0,130.0,95.4515609741211,29.0,11.951894450346343,35.841611575442734,937151,15456,201,6000,6002800,47600
2020-01-13,88.0,127.0,95.44161987304688,28.450000762939453,12.167983055114746,37.80482864379883,90.0,130.0,95.62053680419922,29.450000762939453,12.242496401894511,37.80482864379883,88.0,127.0,95.44161987304688,28.399999618530273,11.989151875577639,36.731990789370435,89.0,128.0,95.62053680419922,29.450000762939453,12.182886008715474,36.856059355806615,773382,10006,402,16600,6492300,47300
2020-01-14,90.0,128.0,95.44161987304688,27.899999618530273,12.22014045715332,38.63683319091797,90.0,129.0,95.44161987304688,28.510000228881836,12.24994636066118,38.63683319091797,88.0,126.0,95.44161987304688,27.5,12.048760775654232,37.43262676881658,88.0,129.0,95.44161987304688,28.5,12.145627119607372,37.87781929695958,374014,8450,1006,12600,5710400,46900
2020-01-15,89.0,126.0,95.91873168945312,27.450000762939453,12.227592468261719,38.67333221435547,91.0,129.0,95.91873168945312,28.190000534057617,12.28720285666303,39.023647012839184,89.0,125.0,95.44161987304688,27.059999465942383,12.041309826854656,38.31571762487266,91.0,128.0,95.44161987304688,27.950000762939453,12.16798207986041,38.6368388274691,398388,12458,201,13600,5141300,73100
