Price,Adj Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,DASA11.SA,AALR3.SA,DASA11.SA,DASA3.SA,HAPV3.SA,ONCO3.SA,QUAL3.SA,RDOR3.SA,AALR3.SA,DASA11.SA,DASA3.SA,HAPV3.SA,ONCO3.SA,QUAL3.SA,RDOR3.SA,AALR3.SA,DASA11.SA,DASA3.SA,HAPV3.SA,ONCO3.SA,QUAL3.SA,RDOR3.SA,AALR3.SA,DASA11.SA,DASA3.SA,HAPV3.SA,ONCO3.SA,QUAL3.SA,RDOR3.SA,AALR3.SA,DASA11.SA,DASA3.SA,HAPV3.SA,ONCO3.SA,QUAL3.SA,RDOR3.SA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,,18.843965530395508,,57.02727127075195,13.16234016418457,,34.71983337402344,,18.843965530395508,,57.02727127075195,13.289129970158106,,34.87926144752707,,18.129879096566007,,57.02727127075195,12.76216037044946,,32.51441394303353,,18.139797200163134,,57.02727127075195,12.916685269356753,,32.72698583394357,,585800,,2100,13001000,,3780700,
2020-01-03,,18.843965530395508,,58.28181457519531,13.719025611877441,,35.437255859375,,19.03240571537122,,58.28181457519531,13.719025611877441,,35.437255859375,,18.377826011439634,,57.02727336858861,12.956306788031736,,34.09983523672529,,18.784458800497593,,57.02727336858861,13.025644519415621,,34.34783295725796,,602200,,1200,46859500,,5450300,
2020-01-06,,18.834047317504883,,58.28181457519531,13.296016693115234,,36.88982391357422,,18.943144564755336,,58.28181457519531,13.677264303733331,,36.88982391357422,,18.447250737885746,,58.28181457519531,13.087521772909213,,34.852688151951014,,18.843965421044455,,58.28181457519531,13.562095527845576,,35.07411565832609,,413500,,0,11035000,,4770500,
2020-01-07,,18.78445816040039,,54.33050537109375,12.930654525756836,,35.95096969604492,,18.893553512881574,,54.33050537109375,13.343672386406803,,36.712680850642144,,18.675360916234432,,54.33050537109375,12.926683482404561,,35.40183043199029,,18.893553512881574,,54.33050537109375,13.224532564286285,,36.712680850642144,,96300,,1000,9186000,,3659900,
2020-01-08,,18.814210891723633,,54.33050537109375,12.66457462310791,,35.26011276245117,,19.032405383688182,,54.33050537109375,13.065679350077065,,36.04839404240538,,18.546429666007292,,54.33050537109375,12.5315352036173,,34.533830905950765,,18.774540369711318,,54.33050537109375,12.924696897114533,,35.93325080797039,,282500,,0,12494500,,3223600,
2020-01-09,,19.736574172973633,,54.33050537109375,12.589119911193848,,35.5169677734375,,19.835753317900103,,54.33050537109375,12.76584364551047,,35.8269682843007,,18.734868403417494,,54.33050537109375,12.477922178149054,,34.91468473493708,,18.843965652005096,,54.33050537109375,12.66457446747379,,35.26897006771921,,1407800,,0,14257500,,3117600,
2020-01-10,,20.777952194213867,,54.33050537109375,12.321054458618164,,36.00411605834961,,20.817622716862413,,54.33050537109375,12.706274056109185,,36.40268289087729,,19.815916955162603,,54.33050537109375,12.152272812869496,,35.516972811987664,,19.835753162329294,,54.33050537109375,12.706274056109185,,35.87125819502984,,1498800,,0,9845000,,4246500,
2020-01-13,,21.700313568115234,,53.58963394165039,12.388566970825195,,37.1555290222168,,21.74990408703945,,54.33050445697275,12.444166310291745,,37.1555290222168,,20.787868828443266,,53.58963394165039,12.241627955950198,,35.738391229687274,,20.787868828443266,,54.33050445697275,12.3111259467345,,36.2521045663919,,1170300,,1200,11043500,,2950000,
