Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,CSNA3.SA,EALT3.SA,EALT4.SA,EMBR3.SA,FRAS3.SA,GGBR3.SA,GGBR4.SA,GOAU3.SA,GOAU4.SA,MTSA4.SA,MWET3.SA,MWET4.SA,MYPK3.SA,RAPT3.SA,RAPT4.SA,ROMI3.SA,RSUL4.SA,SHUL4.SA,TKNO3.SA,TKNO4.SA,TUPY3.SA,USIM3.SA,USIM5.SA,WHRL3.SA,WHRL4.SA,CSNA3.SA,EALT3.SA,EALT4.SA,EMBR3.SA,FRAS3.SA,GGBR3.SA,GGBR4.SA,GOAU3.SA,GOAU4.SA,MTSA4.SA,MWET3.SA,MWET4.SA,MYPK3.SA,RAPT3.SA,RAPT4.SA,ROMI3.SA,RSUL4.SA,SHUL4.SA,TKNO3.SA,TKNO4.SA,TUPY3.SA,USIM3.SA,USIM5.SA,WHRL3.SA,WHRL4.SA,CSNA3.SA,EALT3.SA,EALT4.SA,EMBR3.SA,FRAS3.SA,GGBR3.SA,GGBR4.SA,GOAU3.SA,GOAU4.SA,MTSA4.SA,MWET3.SA,MWET4.SA,MYPK3.SA,RAPT3.SA,RAPT4.SA,ROMI3.SA,RSUL4.SA,SHUL4.SA,TKNO3.SA,TKNO4.SA,TUPY3.SA,USIM3.SA,USIM5.SA,WHRL3.SA,WHRL4.SA,CSNA3.SA,EALT3.SA,EALT4.SA,EMBR3.SA,FRAS3.SA,GGBR3.SA,GGBR4.SA,GOAU3.SA,GOAU4.SA,MTSA4.SA,MWET3.SA,MWET4.SA,MYPK3.SA,RAPT3.SA,RAPT4.SA,ROMI3.SA,RSUL4.SA,SHUL4.SA,TKNO3.SA,TKNO4.SA,TUPY3.SA,USIM3.SA,USIM5.SA,WHRL3.SA,WHRL4.SA,CSNA3.SA,EALT3.SA,EALT4.SA,EMBR3.SA,FRAS3.SA,GGBR3.SA,GGBR4.SA,GOAU3.SA,GOAU4.SA,MTSA4.SA,MWET3.SA,MWET4.SA,MYPK3.SA,RAPT3.SA,RAPT4.SA,ROMI3.SA,RSUL4.SA,SHUL4.SA,TKNO3.SA,TKNO4.SA,TUPY3.SA,USIM3.SA,USIM5.SA,WHRL3.SA,WHRL4.SA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,9.88261890411377,12.803547859191895,5.44447660446167,20.200000762939453,5.261622428894043,9.142168045043945,11.424860954284668,5.4104413986206055,5.846302509307861,18.1074161529541,7.0,6.260000228881836,18.408723831176758,8.72158432006836,11.275921821594238,7.450470447540283,12.008679389953613,1.9565297365188599,61.111244201660156,24.177858352661133,21.493471145629883,8.121423721313477,7.763106346130371,5.6816301345825195,6.6965012550354,9.956621228305535,12.803547859191895,5.510872597872575,20.299999237060547,5.321028113688217,9.282179281000824,11.441370805887152,5.4104413986206055,5.894619011370064,18.597825052620315,7.0,6.269999980926514,18.408723831176758,8.851415317433542,11.299577390764862,7.714088449742922,12.008679389953613,1.9716966196854007,61.111244201660156,24.177858352661133,21.60369336136348,8.121423721313477,7.763106346130371,5.846397386811714,7.0420848693308615,9.559701770991094,12.803547859191895,5.319983918940553,19.950000762939453,4.845784709222567,8.893260773523195,11.072648802884746,5.127542219089081,5.622838543275641,17.496291260725382,7.0,6.150000095367432,18.02019020061158,8.477196903066583,10.566247978502664,7.4158973344100065,12.008679389953613,1.9337794117690486,61.111244201660156,24.177858352661133,21.162801264066797,7.975237846483651,7.619049218767785,5.653221875541112,6.357437616980639,9.593339132752867,12.803547859191895,5.502573296571881,19.950000762939453,4.845784709222567,8.934745838038367,11.07815208675224,5.233629481672101,5.659075631833224,17.72263338701805,7.0,6.269999980926514,18.183373614022628,8.515381890724147,10.566247978502664,7.584440191850102,12.008679389953613,1.9489462949355894,61.111244201660156,24.177858352661133,21.459555622523453,8.040209174292613,7.6830747783166835,5.846397386811714,6.866032452224322,13780900,100,38200,3271300,462985,75222,17125164,113000,11988800,4900,0,1000,1542000,6300,3460300,348477,1003,528400,0,0,787700,91400,16086300,4800,36600
2020-01-03,9.808618545532227,12.803547859191895,5.44447660446167,20.40999984741211,5.371947288513184,9.152538299560547,11.237748146057129,5.363291263580322,5.8583807945251465,17.730178833007812,7.0,6.260000228881836,18.494203567504883,9.049979209899902,11.34688663482666,7.355393886566162,12.008679389953613,1.9944467544555664,61.111244201660156,24.177858352661133,22.37525749206543,8.080816268920898,7.683074474334717,5.630495548248291,6.585653305053711,9.922985206012623,12.803547859191895,5.469375299866428,20.469999313354492,5.371947288513184,9.334033959947282,11.331303973185296,5.363291263580321,5.8583807945251465,18.82416916640842,7.0,6.260000228881836,18.56413975222858,9.172172901549992,11.496706207296254,7.428860980302932,12.008679389953613,2.0285721448343534,61.111244201660156,24.177858352661133,22.37525749206543,8.12142354153242,7.763106038981943,5.761173327083774,6.8138686319220785,9.674069721902173,12.803547859191895,5.23698892717692,19.989999771118164,5.10037957772039,8.919187715385315,10.995602991020206,5.204160380549226,5.671154510679735,17.503836700120605,7.0,6.260000228881836,17.89586279462433,8.477195734041223,10.999934858586316,7.130669897617837,12.008679389953613,1.9091328264999101,61.111244201660156,24.177858352661133,20.85757315539012,7.902144734141779,7.603042146442646,5.624813787898381,6.566091511618202,9.687524283475478,12.803547859191895,5.328283615992584,20.100000381469727,5.10037957772039,9.276992235240538,11.144192318928964,5.268991168782514,5.683233347067463,17.647186046060018,7.0,6.260000228881836,17.9891100528303,8.713945829530305,11.063016862994232,7.329464360005954,12.008679389953613,1.9546336483440854,61.111244201660156,24.177858352661133,21.17976259326698,8.113301932106255,7.611045531880822,5.624813787898381,6.566091511618202,17188500,0,103900,3453700,499987,114030,18061470,95400,15648300,5400,0,0,1433200,27500,2947800,380790,0,1099200,0,0,1180400,80000,11563400,3400,38100
2020-01-06,9.56643009185791,12.803547859191895,5.6768622398376465,20.3799991607666,5.227676868438721,9.02289867401123,11.210232734680176,5.286673069000244,5.828183650970459,20.031330108642578,7.0,6.199999809265137,18.408723831176758,8.859051704406738,11.220724105834961,7.307857513427734,12.008679389953613,2.0361557006835938,61.111244201660156,24.177858352661133,21.468034744262695,7.983358860015869,7.539018630981445,5.567997455596924,6.540009021759033,9.754798433693917,12.803547859191895,5.842852201806057,20.59000015258789,5.388920403667672,9.147353230940666,11.232245872455133,5.386866469035547,5.864421317134706,20.031330108642578,7.0,6.25,18.50197107251502,9.049979536585058,11.504593934129575,7.338109144300593,12.008679389953613,2.0570102979479556,61.111244201660156,24.177858352661133,22.468520046595955,8.121423114931241,7.6830765548998965,5.653221688052214,6.650856684995489,9.51933752521439,12.803547859191895,5.436176597107808,20.139999389648438,5.227676868438721,8.877703144859527,10.913054713424769,5.2277355764843305,5.665115593176755,17.752814491717714,7.0,5.300000190734863,18.121208292417727,8.477196040050101,11.047248935207095,6.957806680267645,12.008679389953613,1.9735922704974795,61.111244201660156,24.177858352661133,21.40868419534143,7.958994807536469,7.523011855770483,5.556633935620242,6.390039019638162,9.754798433693917,12.803547859191895,5.452775593304649,20.43000030517578,5.371947705584938,9.147353230940666,11.171709743574002,5.386866469035547,5.79798626780811,18.477110503682326,7.0,6.25,18.33878765910397,9.049979536585058,11.33900345162337,7.338109144300593,12.008679389953613,1.9944468677618417,61.111244201660156,24.177858352661133,22.468520046595955,8.080815844452733,7.635056992512062,5.630495189941306,6.624774918459756,8453600,0,96600,3352400,162049,71820,14674968,81300,11752900,13300,0,600,1095300,13200,3225600,497295,0,774800,0,0,1105500,44500,17307100,4500,39300
2020-01-07,9.56643009185791,11.896207809448242,5.726659774780273,20.5,5.388920307159424,9.126611709594727,11.386337280273438,5.286673069000244,5.870461463928223,21.117774963378906,7.0,6.199999809265137,18.470890045166016,8.965970039367676,11.34688663482666,7.212780475616455,12.017714500427246,1.9906549453735352,61.111244201660156,24.177858352661133,21.747831344604492,8.072694778442383,7.611047744750977,5.448683261871338,6.3378753662109375,9.714433468225092,11.914538287894448,5.975644741487305,20.56999969482422,5.439839644828434,9.194024552423672,11.419356985321746,5.333822838185141,5.912738264305094,21.117774963378906,7.0,6.25,18.61853176477431,8.981244614204028,11.520361770950021,7.498007731628749,12.017714500427246,2.066489347161613,61.111244201660156,24.177858352661133,21.99371403834587,8.072694778442383,7.611047744750977,5.499818018614713,6.540008897564776,9.512610565619052,11.896207809448242,5.676862781438867,20.06999969482422,5.227676774818125,8.82584825233101,11.078152705195757,5.2277355764843305,5.761749033269746,18.869437691548878,7.0,6.190000057220459,18.268852369654493,8.85905092884046,11.110328742298574,7.212780475616455,12.017714500427246,1.9868631348823935,61.111244201660156,24.177858352661133,21.40020531476274,7.958995342877972,7.531015393589941,5.448683261871338,6.20094593903903,9.613522016922072,11.914538287894448,5.693461779219336,20.420000076293945,5.227676774818125,9.028086157703768,11.243251891730763,5.333822838185141,5.804025833646618,19.608823542438234,7.0,6.190000057220459,18.41649557140104,8.935421618026783,11.315345632622702,7.307856227620554,12.017714500427246,2.05701018254071,61.111244201660156,24.177858352661133,21.43412083825031,7.983359396996158,7.587037581455626,5.460046240124054,6.540008897564776,7751300,600,148100,3576300,111415,49266,15638868,30400,12266000,35200,0,400,1503200,38800,2760800,377084,2007,1092400,0,0,717900,17300,9681400,5100,31600
2020-01-08,9.552974700927734,11.896207809448242,5.75155782699585,20.329999923706055,5.499244213104248,9.173280715942383,11.430362701416016,5.2689924240112305,5.83422327041626,21.31393814086914,7.0,6.190000057220459,18.32324981689453,8.78268051147461,11.252264022827148,7.476398944854736,12.017714500427246,2.064593553543091,61.111244201660156,24.177858352661133,21.747831344604492,7.894022464752197,7.515007972717285,5.460046768188477,6.481325149536133,9.674068953364381,11.896207809448242,5.90094919636672,20.59000015258789,5.5162173247694435,9.27180687360109,11.523919847997465,5.304355038243515,5.90065889472375,21.449743994669287,7.0,6.199999809265137,18.509745820983767,8.935422635573005,11.41785372620748,7.5541881332108245,12.017714500427246,2.064593553543091,61.111244201660156,24.177858352661133,21.9597985148583,8.097058016395378,7.659065109262477,5.624814032606661,6.6052140118901335,9.519337337297626,11.896207809448242,5.693461535130561,20.290000915527344,5.270109486900572,9.079940112733398,11.28727732354188,5.2159493457673305,5.779867059974916,19.8427099767651,7.0,5.349999904632568,18.160066369118386,8.668124100483787,11.21283758069033,7.1306696939698355,12.017714500427246,2.0077176637059826,61.111244201660156,24.177858352661133,21.58673584240087,7.894022464752197,7.458985032107282,5.391867266550867,6.455243381962404,9.58661206455784,11.896207809448242,5.734958829927009,20.5,5.346487867227643,9.079940112733398,11.342310161185779,5.286674012162215,5.858381522170396,20.748081376067304,7.0,6.199999809265137,18.416498560008392,8.935422635573005,11.346887032757412,7.260317933965275,12.017714500427246,2.009613568888029,61.111244201660156,24.177858352661133,21.663044153066735,7.942750563415829,7.611046318162387,5.403230787745059,6.455243381962404,7328200,100,101800,1834500,478565,68292,11968362,42700,10127800,54600,0,1400,1159400,9600,2393000,452975,0,858800,0,0,580800,50000,13776000,6200,19200
2020-01-09,9.452062606811523,11.896207809448242,5.6934614181518555,20.190000534057617,5.6010823249816895,9.105868339538574,11.369827270507812,5.2689924240112305,5.840261936187744,18.85434913635254,7.0,6.150000095367432,18.517513275146484,8.851414680480957,11.58344554901123,7.459115505218506,12.017714500427246,2.07407283782959,61.111244201660156,24.177858352661133,22.086977005004883,7.934630393981934,7.466989040374756,5.437320232391357,6.526968955993652,9.633703331495896,11.896207809448242,5.801354699006874,20.43000030517578,5.72837963169593,9.225136720949942,11.485396223135135,5.28078014944522,5.89461813693884,20.370845591998204,7.0,6.150000095367432,18.571907747757212,8.943059955261779,11.670183882351065,7.692483167729091,12.017714500427246,2.0797605537047583,61.111244201660156,24.177858352661133,22.086977005004883,7.9996017139832425,7.6270529627833,5.505499733586945,6.572611895514118,9.351150522805268,11.896207809448242,5.6851617219123085,20.010000228881836,5.473785433045008,8.976229471824045,11.19372087725086,5.192374456969036,5.797985147149359,18.4846561853317,7.0,6.150000095367432,18.12120878337633,8.782680542312365,11.228609031885057,7.415899407175209,12.017714500427246,2.0475308869593896,61.111244201660156,24.177858352661133,21.705437094570918,7.853415856720684,7.3949600844796635,5.4259572531133475,6.520448358394039,9.586611410573893,11.896207809448242,5.759857405063036,20.31999969482422,5.524703940953145,9.225136720949942,11.446873238926027,5.25131139792993,5.822143394596729,20.370845591998204,7.0,6.150000095367432,18.3543298573143,8.851414680480957,11.26803547867617,7.476402066615289,12.017714500427246,2.068385302757901,61.111244201660156,24.177858352661133,21.908925370238578,7.894023125351309,7.515008598719812,5.4259572531133475,6.559571322153305,7993800,0,61700,3218200,298680,43848,8012088,31400,8588400,32300,0,100,1057600,41900,2072900,303268,0,420400,0,0,465400,31500,9427900,4900,13000
2020-01-10,9.559701919555664,12.006190299987793,5.743258476257324,20.110000610351562,5.728378772735596,9.20958137512207,11.523919105529785,5.322035789489746,5.9670939445495605,18.48465347290039,7.0,5.900000095367432,18.385412216186523,8.897235870361328,11.457279205322266,7.683839321136475,12.017714500427246,2.064593553543091,61.111244201660156,24.177858352661133,22.298948287963867,7.902144432067871,7.314929008483887,5.36345911026001,6.513927459716797,9.680796167148214,12.01535466620974,5.842852457801932,20.31999969482422,5.796270797728753,9.318478039590198,11.672507757594982,5.363292264308502,6.027489285960969,19.156136342645052,7.0,6.0,18.688467989178505,8.935421578953417,11.701722524426806,7.6924829069905485,12.017714500427246,2.102510753166673,61.111244201660156,24.177858352661133,22.383735489479367,8.023966245245578,7.547021902765632,5.454365656063167,6.572611591724073,9.445335272735882,12.006190299987793,5.336582457989885,20.059999465942383,5.6010814851093595,9.105869642990717,11.375329130877851,5.257204989159781,5.846302685748588,18.182863499927965,7.0,5.900000095367432,18.354330294870085,8.866687449154021,11.31534507835532,7.459115252390015,12.017714500427246,2.064593553543091,61.111244201660156,24.177858352661133,21.739355022015488,7.869658770124338,7.274912834315646,5.36345911026001,6.507406862418569,9.485700235793173,12.01535466620974,5.801354767616027,20.290000915527344,5.719892839930509,9.204395819671207,11.39734226451714,5.274886014328016,5.864421230574195,19.156136342645052,7.0,6.0,18.626302664407376,8.866687449154021,11.693837086262873,7.459115252390015,12.017714500427246,2.081656157771101,61.111244201660156,24.177858352661133,22.2565554957968,7.975237365070641,7.499002341114736,5.431639155073008,6.566090994425846,7552500,200,198400,2065900,300115,48636,11538198,58300,9389400,15200,0,300,1188600,900,1880300,299711,0,756800,0,0,594300,29600,12887400,3700,17900
2020-01-13,10.138259887695312,12.006190299987793,5.8594512939453125,20.459999084472656,5.881136894226074,9.64516830444336,12.019218444824219,5.510635852813721,6.281151294708252,18.597827911376953,7.0,6.0,18.50197410583496,8.706307411193848,11.354772567749023,7.9777069091796875,12.288790702819824,2.102510929107666,61.111244201660156,24.177858352661133,22.307424545288086,8.088937759399414,7.635056972503662,5.261189937591553,6.526968955993652,10.171897242597083,12.006190299987793,5.9009489829925394,20.530000686645508,5.915082702489932,9.717766696532449,12.118278889473311,5.510635852813721,6.281151294708252,19.193864475440957,7.0,6.0,18.63407562117013,8.935420917453003,11.61498605249349,7.99499346541186,12.288790702819824,2.1119902750076736,61.111244201660156,24.177858352661133,22.722880004934762,8.113301812800334,7.635056972503662,5.363458917449544,6.540009529354466,9.626974531189287,12.006190299987793,5.751557619023556,20.079999923706055,5.779298639879432,9.292549946307597,11.667006910460918,5.339717764909782,6.0093708150678475,18.492201761410517,7.0,6.0,18.377643442241677,8.622299441175919,11.228608545084661,7.623334644560117,12.288790702819824,2.0721771668704294,61.111244201660156,24.177858352661133,22.103936255900805,7.902144617940919,7.3789546757598234,5.204373416237387,6.487845992234386,9.626974531189287,12.006190299987793,5.751557619023556,20.110000610351562,5.787784988251013,9.33403438572192,11.678013479578928,5.339717764909782,6.0093708150678475,18.492201761410517,7.0,6.0,18.377643442241677,8.851412947435076,11.551904041161311,7.692480869488809,12.288790702819824,2.083552237307651,61.111244201660156,24.177858352661133,22.29894566441597,7.958995108568788,7.402964075268296,5.363458917449544,6.520448358394039,13116300,0,81600,2421400,205509,101178,13157802,94600,11435000,8100,0,700,1015100,22800,3834400,302379,1003,691600,0,0,598000,78800,17012400,6500,24700
