Price,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,GETN3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,,,,4.8531928062438965,,,,,224.0492401123047,,7.7490692138671875,7.490920543670654,21.803285598754883,,132.92189025878906,16.30109214782715,,,4.8531928062438965,,,,,231.38177490234375,,7.959980990964662,7.611410002574502,22.01615266605744,,132.92189025878906,16.30109214782715,,,4.8531928062438965,,,,,222.01243591308594,,7.7490692138671875,7.449777965662196,21.574765986675352,,130.30935513187998,15.877263823050765,,,4.8531928062438965,,,,,226.49342346191406,,7.834996123800445,7.582022206628922,21.803285598754883,,132.60521384341973,16.040274033857816,,,0,,,,,2967,,682200,442100,6553362,,19712.0,10054000
2020-01-15,,,,4.8531928062438965,,,,,225.67869567871094,,7.670953750610352,7.452715873718262,21.85650062561035,,141.70944213867188,16.408212661743164,,,4.8531928062438965,,,,,230.9744110107422,,7.780315888296002,7.561449976500217,21.8909355052464,,145.3511452293663,16.408212661743164,,,4.8531928062438965,,,,,225.27133178710938,,7.616273054251834,7.452715873718263,21.418245540449412,,134.58438925683197,16.147394559466118,,,4.8531928062438965,,,,,226.90078735351562,,7.772504147396609,7.490919611324634,21.756327572981878,,134.58438925683197,16.324378335178327,,,0,,,,,2442,,496900,214200,4143555,,99600.0,6277600
2020-01-16,,,,5.465386867523193,,,,,258.675048828125,,7.577215194702148,7.317532539367676,21.859634399414062,,152.00120544433594,16.70629119873047,,,7.097905158996582,,,,,258.675048828125,,7.780315990954508,7.582021559243512,21.97546000812872,,154.297049041692,16.99971137193512,,,4.8531928062438965,,,,,226.0860595703125,,7.5459689756609105,7.252879842228195,21.43389843423048,,146.06365859260347,16.4361597227203,,,4.8531928062438965,,,,,227.3081512451172,,7.686577333830794,7.4791651230046865,21.91284982388181,,146.06365859260347,16.4361597227203,,,48577,,,,,16543,,533900,531900,4524589,,80025.0,9387200
2020-01-17,,,,5.323429107666016,,,,,245.6394500732422,,7.4990997314453125,7.458592891693115,22.651628494262695,,153.42620849609375,17.13943099975586,,,6.192922115325928,,,,,263.5633850097656,,7.616272862105653,7.499736024598508,22.698584338393236,,161.3429378634868,17.176691485941824,,,5.057257175445557,,,,,244.82472229003906,,7.460041772902334,7.053043156807886,21.72815877133651,,152.00120989393187,16.76683502128508,,,6.192922115325928,,,,,258.675048828125,,7.530345949285977,7.317532163083079,21.937896072209313,,154.3762226641646,16.77615014283157,,,22316,,,,,9716,,610600,557500,6146164,,53837.0,11728200
2020-01-20,,,,5.199215888977051,,,,,250.52780151367188,,7.5381574630737305,7.349859237670898,22.81440544128418,,157.54290771484375,17.665725708007812,,,5.5008769035339355,,,,,253.37933349609375,,7.647519605516181,7.567328014314342,22.81440544128418,,157.54290771484375,17.665725708007812,,,5.048385143280029,,,,,245.6394500732422,,7.506911243085694,7.335165060551078,22.419974601876007,,149.7053476360107,17.064913629087915,,,5.057257175445557,,,,,245.6394500732422,,7.5694036830617675,7.464471016577776,22.601538374670987,,153.82205043498237,17.13943283275161,,,21076,,,,,5650,,663300,321700,2289511,,29912.0,4490200
2020-01-21,,,,4.968533992767334,,,,,256.6382141113281,,7.202260494232178,7.3028388023376465,22.601539611816406,,151.2095184326172,17.460803985595703,,,5.154853820800781,,,,,261.11920166015625,,7.616273078633341,7.405695797403774,22.78310339454968,,158.2554020151445,17.735593971047365,,,4.879809856414795,,,,,247.67625427246094,,7.1319563158498145,7.244063216435422,22.338586901573898,,150.7345189472683,17.423543483381934,,,5.154853820800781,,,,,250.93515014648438,,7.57721511897996,7.405695797403774,22.75492988988084,,158.2554020151445,17.62847091552205,,,5184,,,,,7850,,1359800,250900,5349210,,30625.0,6133800
2020-01-22,,,,5.172597885131836,,,,,263.1560363769531,,8.163082122802734,7.346920967102051,23.190059661865234,,145.82615661621094,18.11750030517578,,,5.447641849517822,,,,,272.9327087402344,,8.186516600159266,7.346920967102051,23.190059661865234,,154.2970546851825,18.11750030517578,,,5.1459808349609375,,,,,257.04559326171875,,6.827304993982752,7.123574502439078,22.56710731015495,,144.16363558493782,17.488742826506197,,,5.154853820800781,,,,,260.3044738769531,,7.202260356530282,7.317533171128526,22.667282176833183,,151.68453457886451,17.623809445258708,,,14426,,,,,8375,,5077800,446900,4133932,,24450.0,5166200
2020-01-23,,,,5.252449989318848,,,,,259.4897766113281,,7.780316352844238,7.346920967102051,23.437358856201172,,145.27198791503906,18.466812133789062,,,5.323429107666016,,,,,264.78546142578125,,8.459922207328479,7.388063545149635,23.437358856201172,,148.2011693452269,18.466812133789062,,,5.190342903137207,,,,,250.1204376220703,,7.6709542086287765,7.19998254776001,22.792494451558333,,141.23445409778608,17.782165593196943,,,5.190342903137207,,,,,264.78546142578125,,8.17089448151118,7.376308763075577,22.958405687898992,,146.38032520214117,17.977777875264227,,,2141,,,,,7062,,2951700,284700,3909281,,39700.0,8711200
2020-01-24,,,,5.323429107666016,,,,,251.34251403808594,,7.889678478240967,7.199981212615967,22.9959716796875,,142.73863220214844,19.295835494995117,,,5.332301139831543,,,,,264.78546142578125,,8.202140682441762,7.423327635862213,23.37788160164331,,147.56782672215832,19.309807290942484,,,5.1459808349609375,,,,,250.52780151367188,,7.7803163342863595,7.199981212615967,22.92710370764972,,141.70944895528748,18.35502940651548,,,5.323429107666016,,,,,264.78546142578125,,7.811562554706439,7.376307395234107,23.368490432927498,,146.06365905361162,18.490096022933404,,,2479,,,,,2594,,1831900,235100,5117643,,11387.0,10146000
2020-01-27,,,,5.1459808349609375,,,,,232.60385131835938,,7.616273403167725,7.199981212615967,22.620323181152344,,135.85107421875,19.08159637451172,,,5.287939071655273,,,,,248.0836181640625,,7.897489383711357,7.323409484396117,22.661017647124957,,142.18445164854327,19.444877346825525,,,5.1459808349609375,,,,,232.60385131835938,,7.366303642684495,6.847328847379686,22.07250201223144,,135.85107421875,18.545988263867947,,,5.287939071655273,,,,,242.7879180908203,,7.850620426105076,7.176471092301913,22.535802662539147,,137.11774970470864,19.002418704556103,,,6987,,,,,6669,,1011200,350000,4715557,,26362.0,11136200
